Lat,Lon
39.4372,79.5709
71.8959,87.656
74.7377,243.362
42.3551,253.35
9.56372,256.016
-23.2744,258.163
-55.8768,261.919
-86.1374,324.574
-58.7663,70.6972
-26.1984,74.856
6.62979,77.0372
66.5423,114.912
79.9366,265.972
47.7961,282.664
15.0401,285.657
-17.8107,287.772
-50.4706,290.97
-82.2663,314.06
-64.1456,99.2004
-31.6513,104.41
1.15183,106.693
33.9829,109.038
84.6498,274.69
53.2264,311.817
20.5137,315.279
-12.3415,317.405
-45.0514,320.215
-77.2248,332.642
-69.4969,126.987
-37.0959,133.908
-4.32534,136.349
28.5215,138.569
61.1538,143.144
58.6436,340.726
25.9833,344.873
-6.86811,347.052
-39.621,349.59
-71.9668,357.703
-74.7971,153.306
-42.5311,163.329
-9.8003,166.001
23.0543,168.147
55.7441,171.893
86.1352,234.494
31.4475,14.4272
-1.39181,16.7076
-34.1806,19.0562
-66.6348,24.9495
-79.9731,175.892
-47.9557,192.641
-15.2717,195.641
17.5824,197.757
50.3194,200.946
82.2412,223.963
64.0431,9.23444
4.08594,46.3643
-28.7314,48.5865
-61.2669,53.175
-84.6622,184.569
-53.3682,221.792
-20.7381,225.263
12.1071,227.39
44.8831,230.194
77.1764,242.578
69.4155,37.0286
36.9051,43.9268